Type                                  Module                      Label             Process   
unsigned int                          "bunchSpacingProducer"      ""                "PAT"     
CorrMETData                           "corrCaloMetType2"          ""                "SSB"     
CorrMETData                           "corrCaloMetType2MuClean"   ""                "SSB"     
CorrMETData                           "corrPfMetType0PfCand"      ""                "SSB"     
CorrMETData                           "corrPfMetType2"            ""                "SSB"     
CorrMETData                           "corrPfMetType2MuClean"     ""                "SSB"     
CorrMETData                           "muCaloMetCorr"             ""                "SSB"     
CorrMETData                           "muCaloMetCorrMuClean"      ""                "SSB"     
CorrMETData                           "patPFMetT0Corr"            ""                "SSB"     
CorrMETData                           "patPFMetT0CorrMuClean"     ""                "SSB"     
CorrMETData                           "patPFMetTxyCorr"           ""                "SSB"     
CorrMETData                           "patPFMetTxyCorrMuClean"    ""                "SSB"     
CorrMETData                           "pfCandMETcorr"             ""                "SSB"     
CorrMETData                           "pfCandMETcorrMuClean"      ""                "SSB"     
CorrMETData                           "pfMETcorrType0"            ""                "SSB"     
CorrMETData                           "pfMEtMultShiftCorr"        ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrElectronEnDown"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrElectronEnDownMuClean"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrElectronEnUp"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrElectronEnUpMuClean"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrJetEnDown"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrJetEnDownMuClean"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrJetEnUp"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrJetEnUpMuClean"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrJetResDown"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrJetResDownMuClean"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrJetResUp"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrJetResUpMuClean"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrMuonEnDown"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrMuonEnDownMuClean"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrMuonEnUp"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrMuonEnUpMuClean"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrPhotonEnDown"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrPhotonEnDownMuClean"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrPhotonEnUp"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrPhotonEnUpMuClean"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrSmearedJetResDown"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrSmearedJetResDownMuClean"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrSmearedJetResUp"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrSmearedJetResUpMuClean"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrTauEnDown"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrTauEnDownMuClean"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrTauEnUp"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrTauEnUpMuClean"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrUnclusteredEnDown"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrUnclusteredEnDownMuClean"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrUnclusteredEnUp"   ""                "SSB"     
CorrMETData                           "shiftedPatMETCorrUnclusteredEnUpMuClean"   ""                "SSB"     
CorrMETData                           "corrCaloMetType1"          "offset"          "SSB"     
CorrMETData                           "corrCaloMetType1MuClean"   "offset"          "SSB"     
CorrMETData                           "corrPfMetType1"            "offset"          "SSB"     
CorrMETData                           "corrPfMetType1MuClean"     "offset"          "SSB"     
CorrMETData                           "patPFMetT1T2Corr"          "offset"          "SSB"     
CorrMETData                           "patPFMetT1T2CorrMuClean"   "offset"          "SSB"     
CorrMETData                           "patPFMetT1T2SmearCorr"     "offset"          "SSB"     
CorrMETData                           "patPFMetT1T2SmearCorrMuClean"   "offset"          "SSB"     
CorrMETData                           "patPFMetT2Corr"            "offset"          "SSB"     
CorrMETData                           "patPFMetT2CorrMuClean"     "offset"          "SSB"     
CorrMETData                           "patPFMetT2SmearCorr"       "offset"          "SSB"     
CorrMETData                           "patPFMetT2SmearCorrMuClean"   "offset"          "SSB"     
CorrMETData                           "corrCaloMetType1"          "type1"           "SSB"     
CorrMETData                           "corrCaloMetType1MuClean"   "type1"           "SSB"     
CorrMETData                           "corrPfMetType1"            "type1"           "SSB"     
CorrMETData                           "corrPfMetType1MuClean"     "type1"           "SSB"     
CorrMETData                           "patPFMetT1T2Corr"          "type1"           "SSB"     
CorrMETData                           "patPFMetT1T2CorrMuClean"   "type1"           "SSB"     
CorrMETData                           "patPFMetT1T2SmearCorr"     "type1"           "SSB"     
CorrMETData                           "patPFMetT1T2SmearCorrMuClean"   "type1"           "SSB"     
CorrMETData                           "patPFMetT2Corr"            "type1"           "SSB"     
CorrMETData                           "patPFMetT2CorrMuClean"     "type1"           "SSB"     
CorrMETData                           "patPFMetT2SmearCorr"       "type1"           "SSB"     
CorrMETData                           "patPFMetT2SmearCorrMuClean"   "type1"           "SSB"     
CorrMETData                           "corrCaloMetType1"          "type2"           "SSB"     
CorrMETData                           "corrCaloMetType1MuClean"   "type2"           "SSB"     
CorrMETData                           "corrPfMetType1"            "type2"           "SSB"     
CorrMETData                           "corrPfMetType1MuClean"     "type2"           "SSB"     
CorrMETData                           "patPFMetT1T2Corr"          "type2"           "SSB"     
CorrMETData                           "patPFMetT1T2CorrMuClean"   "type2"           "SSB"     
CorrMETData                           "patPFMetT1T2SmearCorr"     "type2"           "SSB"     
CorrMETData                           "patPFMetT1T2SmearCorrMuClean"   "type2"           "SSB"     
CorrMETData                           "patPFMetT2Corr"            "type2"           "SSB"     
CorrMETData                           "patPFMetT2CorrMuClean"     "type2"           "SSB"     
CorrMETData                           "patPFMetT2SmearCorr"       "type2"           "SSB"     
CorrMETData                           "patPFMetT2SmearCorrMuClean"   "type2"           "SSB"     
bool                                  "BadChargedCandidateFilter"   ""                "SSB"     
bool                                  "BadPFMuonFilter"           ""                "SSB"     
double                                "ak4GenJetsCustom"          "rho"             "SSB"     
double                                "ak4GenJetsCustom"          "sigma"           "SSB"     
edm::AssociationMap<edm::OneToManyWithQuality<vector<reco::PFCandidate>,vector<reco::Vertex>,int,unsigned int> >    "PFCandAssoMap"             ""                "SSB"     
edm::AssociationMap<edm::OneToManyWithQuality<vector<reco::PFCandidate>,vector<reco::Vertex>,int,unsigned int> >    "pfCandidateToVertexAssociation"   ""                "SSB"     
edm::AssociationMap<edm::OneToManyWithQuality<vector<reco::Vertex>,vector<reco::PFCandidate>,int,unsigned int> >    "PFCandAssoMap"             ""                "SSB"     
edm::AssociationMap<edm::OneToManyWithQuality<vector<reco::Vertex>,vector<reco::PFCandidate>,int,unsigned int> >    "pfCandidateToVertexAssociation"   ""                "SSB"     
edm::OwnVector<pat::UserData,edm::ClonePolicy<pat::UserData> >    "egmGsfElectronIDs"         "cutBasedElectronHLTPreselection-Summer16-V1"   "SSB"     
edm::OwnVector<pat::UserData,edm::ClonePolicy<pat::UserData> >    "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-loose"   "SSB"     
edm::OwnVector<pat::UserData,edm::ClonePolicy<pat::UserData> >    "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-medium"   "SSB"     
edm::OwnVector<pat::UserData,edm::ClonePolicy<pat::UserData> >    "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-tight"   "SSB"     
edm::OwnVector<pat::UserData,edm::ClonePolicy<pat::UserData> >    "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-veto"   "SSB"     
edm::OwnVector<pat::UserData,edm::ClonePolicy<pat::UserData> >    "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-loose"   "SSB"     
edm::OwnVector<pat::UserData,edm::ClonePolicy<pat::UserData> >    "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-medium"   "SSB"     
edm::OwnVector<pat::UserData,edm::ClonePolicy<pat::UserData> >    "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-tight"   "SSB"     
edm::OwnVector<pat::UserData,edm::ClonePolicy<pat::UserData> >    "egmGsfElectronIDs"         "heepElectronID-HEEPV70"   "SSB"     
edm::OwnVector<pat::UserData,edm::ClonePolicy<pat::UserData> >    "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp80"   "SSB"     
edm::OwnVector<pat::UserData,edm::ClonePolicy<pat::UserData> >    "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp90"   "SSB"     
edm::OwnVector<pat::UserData,edm::ClonePolicy<pat::UserData> >    "egmGsfElectronIDs"         "mvaEleID-Spring16-HZZ-V1-wpLoose"   "SSB"     
edm::OwnVector<pat::UserData,edm::ClonePolicy<pat::UserData> >    "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp80"   "SSB"     
edm::OwnVector<pat::UserData,edm::ClonePolicy<pat::UserData> >    "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp90"   "SSB"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "jetSelectorForMet"         "tagInfos"        "SSB"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "jetSelectorForMetMuClean"   "tagInfos"        "SSB"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "patJetsReapplyJEC"         "tagInfos"        "SSB"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "patJetsReapplyJECMuClean"   "tagInfos"        "SSB"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "selectedPatJetsForMetT1T2Corr"   "tagInfos"        "SSB"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "selectedPatJetsForMetT1T2CorrMuClean"   "tagInfos"        "SSB"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "selectedPatJetsForMetT1T2SmearCorr"   "tagInfos"        "SSB"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "selectedPatJetsForMetT1T2SmearCorrMuClean"   "tagInfos"        "SSB"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "selectedPatJetsForMetT2Corr"   "tagInfos"        "SSB"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "selectedPatJetsForMetT2CorrMuClean"   "tagInfos"        "SSB"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "selectedPatJetsForMetT2SmearCorr"   "tagInfos"        "SSB"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "selectedPatJetsForMetT2SmearCorrMuClean"   "tagInfos"        "SSB"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "selectedUpdatedPatJetsUpdatedJEC"   "tagInfos"        "SSB"     
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "updatedPatJetsUpdatedJEC"   "tagInfos"        "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatElectronEnDown"   ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatElectronEnDownMuClean"   ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatElectronEnUp"    ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatElectronEnUpMuClean"   ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatMuonEnDown"      ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatMuonEnDownMuClean"   ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatMuonEnUp"        ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatMuonEnUpMuClean"   ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatPhotonEnDown"    ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatPhotonEnDownMuClean"   ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatPhotonEnUp"      ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatPhotonEnUpMuClean"   ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatTauEnDown"       ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatTauEnDownMuClean"   ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatTauEnUp"         ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatTauEnUpMuClean"   ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatUnclusteredEnDown"   ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatUnclusteredEnDownMuClean"   ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatUnclusteredEnUp"   ""                "SSB"     
edm::OwnVector<reco::Candidate,edm::ClonePolicy<reco::Candidate> >    "shiftedPatUnclusteredEnUpMuClean"   ""                "SSB"     
edm::PtrVector<reco::Candidate>       "cleanMuonsPFCandidates"    ""                "SSB"     
edm::PtrVector<reco::Candidate>       "genParticlesForJetsCustom"   ""                "SSB"     
edm::PtrVector<reco::Candidate>       "pfCandsForUnclusteredUnc"   ""                "SSB"     
edm::PtrVector<reco::Candidate>       "pfCandsForUnclusteredUncMuClean"   ""                "SSB"     
edm::PtrVector<reco::Candidate>       "pfCandsNoJets"             ""                "SSB"     
edm::PtrVector<reco::Candidate>       "pfCandsNoJetsMuClean"      ""                "SSB"     
edm::PtrVector<reco::Candidate>       "pfCandsNoJetsNoEle"        ""                "SSB"     
edm::PtrVector<reco::Candidate>       "pfCandsNoJetsNoEleMuClean"   ""                "SSB"     
edm::PtrVector<reco::Candidate>       "pfCandsNoJetsNoEleNoMu"    ""                "SSB"     
edm::PtrVector<reco::Candidate>       "pfCandsNoJetsNoEleNoMuMuClean"   ""                "SSB"     
edm::PtrVector<reco::Candidate>       "pfCandsNoJetsNoEleNoMuNoTau"   ""                "SSB"     
edm::PtrVector<reco::Candidate>       "pfCandsNoJetsNoEleNoMuNoTauMuClean"   ""                "SSB"     
edm::PtrVector<reco::Muon>            "badGlobalMuonTaggerMAOD"   "bad"             "SSB"     
edm::PtrVector<reco::Muon>            "cloneGlobalMuonTaggerMAOD"   "bad"             "SSB"     
edm::RandomEngineStates               "randomEngineStateProducer"   ""                "SSB"     
edm::RefVector<vector<reco::GenParticle>,reco::GenParticle,edm::refhelper::FindUsingAdvance<vector<reco::GenParticle>,reco::GenParticle> >    "selectedHadronsAndPartons"   "algorithmicPartons"   "SSB"     
edm::RefVector<vector<reco::GenParticle>,reco::GenParticle,edm::refhelper::FindUsingAdvance<vector<reco::GenParticle>,reco::GenParticle> >    "selectedHadronsAndPartons"   "bHadrons"        "SSB"     
edm::RefVector<vector<reco::GenParticle>,reco::GenParticle,edm::refhelper::FindUsingAdvance<vector<reco::GenParticle>,reco::GenParticle> >    "selectedHadronsAndPartons"   "cHadrons"        "SSB"     
edm::RefVector<vector<reco::GenParticle>,reco::GenParticle,edm::refhelper::FindUsingAdvance<vector<reco::GenParticle>,reco::GenParticle> >    "selectedHadronsAndPartons"   "leptons"         "SSB"     
edm::RefVector<vector<reco::GenParticle>,reco::GenParticle,edm::refhelper::FindUsingAdvance<vector<reco::GenParticle>,reco::GenParticle> >    "selectedHadronsAndPartons"   "physicsPartons"   "SSB"     
edm::TriggerResults                   "TriggerResults"            ""                "SSB"     
edm::ValueMap<bool>                   "egmGsfElectronIDs"         "cutBasedElectronHLTPreselection-Summer16-V1"   "SSB"     
edm::ValueMap<bool>                   "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-loose"   "SSB"     
edm::ValueMap<bool>                   "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-medium"   "SSB"     
edm::ValueMap<bool>                   "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-tight"   "SSB"     
edm::ValueMap<bool>                   "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-veto"   "SSB"     
edm::ValueMap<bool>                   "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-loose"   "SSB"     
edm::ValueMap<bool>                   "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-medium"   "SSB"     
edm::ValueMap<bool>                   "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-tight"   "SSB"     
edm::ValueMap<bool>                   "egmGsfElectronIDs"         "heepElectronID-HEEPV70"   "SSB"     
edm::ValueMap<bool>                   "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp80"   "SSB"     
edm::ValueMap<bool>                   "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp90"   "SSB"     
edm::ValueMap<bool>                   "egmGsfElectronIDs"         "mvaEleID-Spring16-HZZ-V1-wpLoose"   "SSB"     
edm::ValueMap<bool>                   "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp80"   "SSB"     
edm::ValueMap<bool>                   "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp90"   "SSB"     
edm::ValueMap<edm::Ptr<pat::UserData> >    "egmGsfElectronIDs"         "cutBasedElectronHLTPreselection-Summer16-V1"   "SSB"     
edm::ValueMap<edm::Ptr<pat::UserData> >    "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-loose"   "SSB"     
edm::ValueMap<edm::Ptr<pat::UserData> >    "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-medium"   "SSB"     
edm::ValueMap<edm::Ptr<pat::UserData> >    "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-tight"   "SSB"     
edm::ValueMap<edm::Ptr<pat::UserData> >    "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-veto"   "SSB"     
edm::ValueMap<edm::Ptr<pat::UserData> >    "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-loose"   "SSB"     
edm::ValueMap<edm::Ptr<pat::UserData> >    "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-medium"   "SSB"     
edm::ValueMap<edm::Ptr<pat::UserData> >    "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-tight"   "SSB"     
edm::ValueMap<edm::Ptr<pat::UserData> >    "egmGsfElectronIDs"         "heepElectronID-HEEPV70"   "SSB"     
edm::ValueMap<edm::Ptr<pat::UserData> >    "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp80"   "SSB"     
edm::ValueMap<edm::Ptr<pat::UserData> >    "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp90"   "SSB"     
edm::ValueMap<edm::Ptr<pat::UserData> >    "egmGsfElectronIDs"         "mvaEleID-Spring16-HZZ-V1-wpLoose"   "SSB"     
edm::ValueMap<edm::Ptr<pat::UserData> >    "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp80"   "SSB"     
edm::ValueMap<edm::Ptr<pat::UserData> >    "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp90"   "SSB"     
edm::ValueMap<float>                  "calibratedPatElectrons"    "EGMresolutionPhiDownUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatPhotons"      "EGMresolutionPhiDownUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatElectrons"    "EGMresolutionPhiUpUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatPhotons"      "EGMresolutionPhiUpUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatElectrons"    "EGMresolutionRhoDownUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatPhotons"      "EGMresolutionRhoDownUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatElectrons"    "EGMresolutionRhoUpUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatPhotons"      "EGMresolutionRhoUpUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatElectrons"    "EGMscaleGainDownUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatPhotons"      "EGMscaleGainDownUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatElectrons"    "EGMscaleGainUpUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatPhotons"      "EGMscaleGainUpUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatElectrons"    "EGMscaleStatDownUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatPhotons"      "EGMscaleStatDownUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatElectrons"    "EGMscaleStatUpUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatPhotons"      "EGMscaleStatUpUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatElectrons"    "EGMscaleSystDownUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatPhotons"      "EGMscaleSystDownUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatElectrons"    "EGMscaleSystUpUncertainty"   "SSB"     
edm::ValueMap<float>                  "calibratedPatPhotons"      "EGMscaleSystUpUncertainty"   "SSB"     
edm::ValueMap<float>                  "electronMVAValueMapProducer"   "ElectronMVAEstimatorRun2Phys14NonTrig25nsV1Values"   "SSB"     
edm::ValueMap<float>                  "electronMVAValueMapProducer"   "ElectronMVAEstimatorRun2Spring15NonTrig25nsV1Values"   "SSB"     
